id,latitude,longitude,timestamp,subtotal
ORD-TEST-001,40.7484,-73.9857,2025-11-04T10:00:00Z,89.99
ORD-TEST-002,40.7074,-74.0113,2025-11-04T10:17:00Z,124.50
ORD-TEST-003,40.7580,-73.9855,2025-11-04T10:34:00Z,67.25
ORD-TEST-004,40.7021,-73.9969,2025-11-04T10:51:00Z,156.80
ORD-TEST-005,40.6602,-73.9690,2025-11-04T11:08:00Z,93.40
ORD-TEST-006,40.6413,-73.7781,2025-11-04T11:25:00Z,210.00
ORD-TEST-007,40.7406,-73.8418,2025-11-04T11:42:00Z,78.60
ORD-TEST-008,40.8296,-73.9262,2025-11-04T11:59:00Z,145.20
ORD-TEST-009,40.8506,-73.8769,2025-11-04T12:16:00Z,54.30
ORD-TEST-010,40.6438,-74.0739,2025-11-04T12:33:00Z,112.90
ORD-TEST-011,40.7370,-73.6107,2025-11-04T12:50:00Z,189.75
ORD-TEST-012,40.8000,-73.2000,2025-11-04T13:07:00Z,76.40
ORD-TEST-013,40.7664,-73.9786,2025-11-04T13:24:00Z,234.60
ORD-TEST-014,40.9500,-73.8000,2025-11-04T13:41:00Z,98.20
ORD-TEST-015,42.8864,-78.8784,2025-11-04T13:58:00Z,167.80
